time,LeftHipAngle,RightHipAngle
8.124,1.34,1.61
8.155,1.34,1.61
8.185,1.34,1.61
8.216,1.34,1.61
8.247,1.34,1.61
8.278,1.34,1.62
8.309,1.34,1.64
8.340,1.33,1.69
8.371,1.31,1.76
8.402,1.29,1.86
8.432,1.26,1.96
8.463,1.25,2.04
8.495,1.23,2.10
8.520,1.22,2.14
8.559,1.20,2.16
8.589,1.18,2.19
8.621,1.18,2.21
8.646,1.18,2.21
8.683,1.18,2.20
8.703,1.19,2.19
8.729,1.20,2.17
8.761,1.21,2.14
8.786,1.24,2.09
8.823,1.27,2.04
8.848,1.31,1.96
8.886,1.34,1.90
8.917,1.37,1.81
8.948,1.38,1.74
8.979,1.39,1.67
9.010,1.40,1.58
9.040,1.41,1.50
9.071,1.41,1.43
9.102,1.41,1.40
9.134,1.43,1.38
9.159,1.49,1.36
9.196,1.53,1.35
9.221,1.60,1.34
9.259,1.63,1.34
9.283,1.68,1.32
9.321,1.74,1.28
9.352,1.84,1.21
9.383,1.93,1.15
9.414,2.00,1.09
9.446,2.04,1.05
9.470,2.06,1.03
9.508,2.06,1.03
9.539,2.04,1.06
9.570,2.01,1.10
9.601,1.97,1.14
9.633,1.93,1.18
9.657,1.86,1.22
9.695,1.81,1.25
9.727,1.71,1.28
9.751,1.64,1.30
9.790,1.60,1.30
9.821,1.56,1.31
9.853,1.53,1.34
9.877,1.50,1.41
9.915,1.49,1.46
9.946,1.49,1.53
9.977,1.49,1.58
10.007,1.48,1.63
