time,LeftHipAngle,RightHipAngle
8.133,2.24,2.23
8.164,2.24,2.23
8.196,2.23,2.22
8.227,2.21,2.20
8.258,2.20,2.19
8.288,2.19,2.17
8.319,2.17,2.16
8.350,2.16,2.14
8.382,2.14,2.13
8.406,2.12,2.10
8.444,2.10,2.09
8.475,2.07,2.05
8.506,2.04,2.02
8.537,2.01,1.99
8.567,1.98,1.95
8.598,1.95,1.92
8.629,1.91,1.89
8.660,1.88,1.85
8.691,1.84,1.82
8.722,1.81,1.79
8.753,1.77,1.75
8.784,1.72,1.71
8.815,1.68,1.66
8.846,1.63,1.61
8.877,1.58,1.55
8.908,1.53,1.50
8.939,1.48,1.46
8.971,1.44,1.43
8.995,1.40,1.41
9.033,1.39,1.40
9.065,1.38,1.40
9.089,1.38,1.40
9.126,1.38,1.40
9.157,1.38,1.41
9.189,1.41,1.43
9.213,1.44,1.45
9.251,1.48,1.47
9.282,1.55,1.53
9.313,1.60,1.59
9.338,1.66,1.65
9.376,1.70,1.69
9.407,1.76,1.75
9.438,1.80,1.79
9.470,1.83,1.82
9.494,1.86,1.84
9.531,1.88,1.86
9.562,1.92,1.89
9.587,1.95,1.93
9.624,1.98,1.96
9.655,2.02,2.00
9.686,2.05,2.02
9.717,2.07,2.05
9.748,2.09,2.07
9.779,2.11,2.09
9.810,2.13,2.11
9.842,2.15,2.14
9.866,2.16,2.16
9.905,2.18,2.17
9.935,2.19,2.19
9.967,2.21,2.20
9.991,2.21,2.21
10.029,2.22,2.22
