Time,PowerKeyState,FuncKeyState ,UpKeyState ,DownKeyState ,DeviceError ,Battery ,DeviceMs ,BackIncl ,HipAngle_L ,HipAngle_R ,HipSpeed_L ,HipSpeed_R ,HipTor_L ,HipTor_R ,Voltage ,Current ,AccX ,AccY ,AccZ ,GyroX ,GyroY ,GyroZ
0.0005493999924510717,0,0,0,0,1,64,8603480,3.2370758056640625,0.8562167286872864,1.5224758386611938,-1.3595327138900757,1.285455346107483,-0.000467651872895658,-0.016978519037365913,26.400000000000002,0.03,0.0,0.99,0.0,0.0,0.23,0.14
0.02346140000736341,0,0,0,0,1,64,8603502,3.233325719833374,0.8314173817634583,1.5201749801635742,-1.319724440574646,0.9954846501350403,0.004774108063429594,-0.003490785602480173,26.44,0.0,0.0,0.98,0.0,0.0,0.2,0.35000000000000003
0.04901149999932386,0,0,0,0,1,64,8603528,3.2236952781677246,0.8076407313346863,1.512505054473877,-1.228170394897461,0.693390429019928,-0.0003688372962642461,-0.005117462947964668,26.42,0.11,0.0,0.92,0.0,0.0,0.19,0.55
0.07957610001903959,0,0,0,0,1,64,8603559,3.2070693969726562,0.785398006439209,1.4935860633850098,-1.0872310400009155,0.3412899374961853,-0.0009045829065144062,0.006873035337775946,26.42,0.0,0.0,0.9,0.0,0.0,0.2,0.64
0.11072200001217425,0,0,0,0,1,64,8603590,3.189943313598633,0.7636666297912598,1.467508316040039,-0.9740496873855591,0.015082716941833496,-0.0031331502832472324,-0.0010512946173548698,26.42,0.0,0.07,0.75,0.0,0.0,0.22,0.49
0.14173070000833832,0,0,0,0,1,64,8603621,3.179718017578125,0.7340097427368164,1.4480777978897095,-0.9529619216918945,-0.17744435369968414,0.0013879238395020366,0.004378220997750759,26.42,0.01,0.08,0.78,0.03,0.0,0.28,0.08
0.17291220001061447,0,0,0,0,1,64,8603652,3.181157350540161,0.6938705444335938,1.4450098276138306,-1.0417214632034302,-0.17054465413093567,0.00034813297679647803,-0.011925403960049152,26.44,0.16,0.04,0.92,0.07,0.0,0.3,0.0
0.20501360000343993,0,0,0,0,1,64,8603684,3.1934518814086914,0.6519417762756348,1.4447542428970337,-1.1259362697601318,-0.11518047004938126,0.005257003474980593,-0.021423745900392532,26.42,0.08,0.0,1.1500000000000001,0.0,0.04,0.41000000000000003,0.0
0.22939980000955984,0,0,0,0,1,64,8603708,3.20452618598938,0.6273981928825378,1.443731665611267,-1.1158088445663452,-0.09574197232723236,0.00041535310447216034,-0.020708734169602394,26.44,0.0,0.0,1.29,0.0,0.07,0.42,0.0
0.2677607999939937,0,0,0,0,1,64,8603747,3.2108781337738037,0.6048997044563293,1.4378513097763062,-0.9460077285766602,-0.10186789184808731,0.007798522245138884,0.0046746083535254,26.44,0.09,0.0,1.21,0.0,0.14,0.28,0.0
0.2988113000174053,0,0,0,0,1,64,8603778,3.2152910232543945,0.6048997044563293,1.4194434881210327,-0.693926215171814,-0.2267746776342392,0.004520168527960777,0.0012522703036665916,26.42,0.0,0.14,0.92,0.09,0.0,0.1,0.0
0.32946070001344196,0,0,0,0,1,64,8603808,3.2317147254943848,0.6133365631103516,1.3946441411972046,-0.4382795989513397,-0.38349586725234985,-0.002621804131194949,-0.0001159074017778039,26.42,0.01,0.17,1.03,0.31,0.23,0.0,0.0
0.36049330001696944,0,0,0,0,1,64,8603839,3.2566328048706055,0.6442718505859375,1.3591070175170898,-0.06673353910446167,-0.5832574367523193,-0.0024742905516177416,-0.003846961772069335,26.44,0.01,0.11,0.99,0.0,0.33,0.0,0.0
0.39214240000001155,0,0,0,0,1,64,8603871,3.2760071754455566,0.7127895355224609,1.304395079612732,0.5310803055763245,-0.8864889740943909,-0.003380713751539588,-0.004311167635023594,26.42,0.03,0.16,1.03,0.0,0.22,0.0,0.0
0.4166134000115562,0,0,0,0,1,64,8603896,3.2850780487060547,0.7833526730537415,1.2560745477676392,1.0492675304412842,-1.1303510665893555,-0.0022338833659887314,-0.004570486024022102,26.42,0.0,0.15,1.1500000000000001,0.0,0.17,0.0,0.0
0.4551928000000771,0,0,0,0,1,64,8603934,3.289069890975952,0.9001910090446472,1.1972719430923462,1.7195899486541748,-1.289674162864685,-0.0034620279911905527,0.0018490711227059364,26.42,0.0,0.1,1.11,0.0,0.07,0.0,0.0
0.4853919000015594,0,0,0,0,1,64,8603964,3.2874841690063477,0.9947864413261414,1.1635242700576782,2.109161138534546,-1.2488512992858887,-0.006869262084364891,-0.003947878256440163,26.42,0.09,0.01,1.07,0.03,0.0,0.0,0.07
0.5163185000128578,0,0,0,0,1,64,8603995,3.281635284423828,1.093983769416809,1.1343787908554077,2.4046525955200195,-1.1577194929122925,-0.011336863040924072,-0.0032801609486341476,26.42,0.0,0.07,1.05,0.0,0.0,0.0,0.18
0.5474629999953322,0,0,0,0,1,64,8604026,3.2737441062927246,1.1862783432006836,1.1024208068847656,2.564948797225952,-1.114358901977539,-0.008382612839341164,0.0026955176144838333,26.44,0.0,0.08,0.9500000000000001,0.0,0.0,0.0,0.2
0.5782148000143934,0,0,0,0,1,64,8604057,3.2667908668518066,1.2640000581741333,1.0661166906356812,2.5603883266448975,-1.1239019632339478,-0.007759468629956245,-0.004922796506434679,26.39,0.0,0.07,0.93,0.0,0.0,0.0,0.11
0.6090046000026632,0,0,0,0,1,64,8604088,3.262688159942627,1.3248480558395386,1.0262333154678345,2.4059791564941406,-1.1632527112960815,-0.0038694720715284348,0.0036028586328029633,26.44,0.0,0.07,0.85,0.04,0.0,0.0,0.01
