Time,PowerKeyState,FuncKeyState ,UpKeyState ,DownKeyState ,DeviceError ,Battery ,DeviceMs ,BackIncl ,HipAngle_L ,HipAngle_R ,HipSpeed_L ,HipSpeed_R ,HipTor_L ,HipTor_R ,Voltage ,Current ,AccX ,AccY ,AccZ ,GyroX ,GyroY ,GyroZ
0.0005046000005677342,0,0,0,0,1,64,8689072,3.2078607082366943,1.47568941116333,0.825537383556366,0.4680560827255249,-0.9861545562744141,0.01370998751372099,0.0012538260780274868,26.400000000000002,0.11,0.0,0.89,0.0,0.28,0.0,0.74
0.0005046000005677342,0,0,0,0,1,64,8689072,3.2078607082366943,1.47568941116333,0.825537383556366,0.4680560827255249,-0.9861545562744141,0.01370998751372099,0.0012538260780274868,26.400000000000002,0.11,0.0,0.89,0.0,0.28,0.0,0.74
0.0005046000005677342,0,0,0,0,1,64,8691369,3.2063450813293457,0.6501522064208984,1.446799635887146,-1.1070609092712402,-0.11495541036128998,0.00839075818657875,-0.013561165891587734,26.42,0.11,0.0,1.19,0.04,0.22,0.39,0.0
0.08634270000038669,0,0,0,0,1,64,8691401,3.2111241817474365,0.6478511691093445,1.4271135330200195,-0.8243557214736938,-0.2498946189880371,-0.00153489806689322,-0.009730048477649689,26.42,0.0,0.09,1.04,0.07,0.1,0.25,0.0
0.11124120000749826,0,0,0,0,1,64,8691426,3.2209184169769287,0.6496407389640808,1.4120292663574219,-0.6099076271057129,-0.33783599734306335,0.006993907503783703,0.0011890014866366982,26.400000000000002,0.0,0.12,1.03,0.19,0.21,0.05,0.0
0.1474210000014864,0,0,0,0,1,64,8691462,3.243485689163208,0.6675373911857605,1.389786720275879,-0.28564614057540894,-0.41855454444885254,-0.0013936315663158894,0.006167043931782246,26.400000000000002,0.0,0.03,0.97,0.0,0.32,0.0,0.0
0.16838310001185164,0,0,0,0,1,64,8691483,3.254915952682495,0.7012847065925598,1.3654985427856445,0.053778957575559616,-0.5430886745452881,-0.003699298482388258,0.0085796769708395,26.42,0.11,0.14,0.96,0.0,0.19,0.0,0.0
0.1947892000025604,0,0,0,0,1,64,8691509,3.2628538608551025,0.7646892666816711,1.3217802047729492,0.6017670035362244,-0.7972826957702637,-0.0045277029275894165,0.002588781528174877,26.42,0.0,0.19,1.07,0.0,0.13,0.0,0.0
0.22637200000463054,0,0,0,0,1,64,8691541,3.2671456336975098,0.8600518107414246,1.2637447118759155,1.2807289361953735,-1.0991191864013672,-0.005864096339792013,-0.0011846035486087203,26.42,0.0,0.17,1.1400000000000001,0.0,0.16,0.0,0.0
0.2513250000192784,0,0,0,0,1,64,8691566,3.267474412918091,0.9359838366508484,1.2282072305679321,1.6940308809280396,-1.189378023147583,-0.005579174030572176,0.00129478401504457,26.42,0.0,0.09,1.1300000000000001,0.0,0.14,0.0,0.0
0.28899010000168346,0,0,0,0,1,64,8691604,3.2653472423553467,1.0517994165420532,1.189857840538025,2.132321357727051,-1.133808970451355,0.007225789595395327,0.003554173279553652,26.42,0.0,0.09,1.11,0.01,0.0,0.0,0.07
0.32035230001201853,0,0,0,0,1,64,8691635,3.2588696479797363,1.1466504335403442,1.1614789962768555,2.383117437362671,-1.0642051696777344,-0.005070657469332218,-0.00037630763836205006,26.44,0.01,0.07,1.07,0.0,0.0,0.0,0.16
0.35237630002666265,0,0,0,0,1,64,8691667,3.2512547969818115,1.239967703819275,1.1256862878799438,2.5370030403137207,-1.0689395666122437,0.0009065725607797503,0.002053764183074236,26.42,0.03,0.01,0.93,0.0,0.0,0.0,0.15
0.3825469000148587,0,0,0,0,1,64,8691697,3.245680570602417,1.312576174736023,1.088870644569397,2.522853374481201,-1.1073156595230103,-0.0013319661375135183,0.009476929903030396,26.42,0.0,0.1,0.89,0.0,0.0,0.0,0.07
0.4133707000000868,0,0,0,0,1,64,8691728,3.24273419380188,1.3718900680541992,1.0466861724853516,2.35835862159729,-1.1710340976715088,-0.0007146950229071081,-0.0005586161278188229,26.42,0.11,0.03,0.87,0.0,0.0,0.0,0.03
0.4446930000267457,0,0,0,0,1,64,8691759,3.2413980960845947,1.4163755178451538,0.9983657002449036,2.1090688705444336,-1.2728939056396484,0.004354373551905155,0.006133421789854765,26.44,0.0,0.03,0.85,0.02,0.0,0.0,0.0
0.4750517000211403,0,0,0,0,1,64,8691790,3.2406811714172363,1.4475663900375366,0.9485114216804504,1.8073725700378418,-1.3680980205535889,0.006387322209775448,0.006872514262795448,26.44,0.0,0.01,0.92,0.0,0.0,0.0,0.0
0.5066915000206791,0,0,0,0,1,64,8691821,3.23896861076355,1.464695930480957,0.9037704467773438,1.467164397239685,-1.3980895280838013,0.00413507828488946,0.005386772565543652,26.42,0.01,0.01,0.91,0.0,0.0,0.0,0.11
0.5382243000203744,0,0,0,0,1,64,8691853,3.2347042560577393,1.4667412042617798,0.8702786564826965,1.0733060836791992,-1.3049108982086182,0.005358218215405941,0.006556086707860231,26.42,0.06,0.0,0.93,0.05,0.0,0.0,0.24
0.5624994000245351,0,0,0,0,1,64,8691877,3.2288856506347656,1.466229796409607,0.8528935313224792,0.8216400146484375,-1.1843345165252686,2.528935146983713e-05,-0.0004836462903767824,26.400000000000002,0.03,0.0,0.9,0.09,0.05,0.0,0.46
0.6010085000016261,0,0,0,0,1,64,8691916,3.212130069732666,1.4611164331436157,0.8344857096672058,0.5074519515037537,-0.9440101981163025,-0.0036880807019770145,0.00604147557169199,26.42,0.04,0.0,0.91,0.05,0.23,0.0,0.55
